,training_iterations,random_first_wins,random_second_wins,random_first_draws,random_second_draws,random_first_losses,random_second_losses,previous_first_wins,previous_second_wins,previous_first_draws,previous_second_draws,previous_first_losses,previous_second_losses
0,0,0.05,0.05,0.05,0.0,0.9,0.95,0.0,0.0,0.0,0.0,0.0,0.0
1,10000,0.2,0.2,0.05,0.05,0.75,0.75,0.95,0.5,0.05,0.0,0.0,0.5
2,20000,0.65,0.65,0.05,0.0,0.3,0.35,0.85,0.95,0.0,0.05,0.15,0.0
3,30000,0.6,0.6,0.0,0.0,0.4,0.4,1.0,0.85,0.0,0.0,0.0,0.15
4,40000,0.85,0.65,0.0,0.0,0.15,0.35,0.3,0.9,0.1,0.0,0.6,0.1
5,50000,0.75,0.9,0.1,0.0,0.15,0.1,0.75,0.85,0.0,0.05,0.25,0.1
6,60000,0.65,0.9,0.15,0.0,0.2,0.1,0.15,0.8,0.0,0.0,0.85,0.2
7,70000,0.9,0.95,0.0,0.05,0.1,0.0,0.15,0.75,0.8,0.05,0.05,0.2
8,80000,0.75,0.85,0.1,0.05,0.15,0.1,0.9,0.9,0.0,0.1,0.1,0.0
9,90000,0.95,0.95,0.05,0.05,0.0,0.0,0.85,0.9,0.0,0.0,0.15,0.1
10,100000,1.0,0.9,0.0,0.05,0.0,0.05,0.15,0.15,0.05,0.0,0.8,0.85
11,110000,0.95,1.0,0.0,0.0,0.05,0.0,0.15,0.1,0.0,0.05,0.85,0.85
12,120000,0.9,0.9,0.05,0.0,0.05,0.1,0.3,0.75,0.0,0.0,0.7,0.25
13,130000,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.2,0.0,0.0,0.85,0.8
14,140000,0.9,0.95,0.0,0.0,0.1,0.05,0.95,0.9,0.0,0.05,0.05,0.05
15,150000,0.95,1.0,0.0,0.0,0.05,0.0,0.85,0.8,0.05,0.0,0.1,0.2
16,160000,0.85,1.0,0.05,0.0,0.1,0.0,0.05,0.1,0.9,0.05,0.05,0.85
17,170000,1.0,0.95,0.0,0.05,0.0,0.0,0.1,0.1,0.9,0.85,0.0,0.05
18,180000,0.85,0.9,0.0,0.05,0.15,0.05,0.25,0.25,0.7,0.7,0.05,0.05
19,190000,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.1,0.75,0.05,0.05,0.85
20,200000,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.85,0.0,0.1,0.85,0.05
21,210000,0.95,1.0,0.05,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.75,0.0
22,220000,1.0,0.95,0.0,0.0,0.0,0.05,1.0,0.95,0.0,0.0,0.0,0.05
23,230000,0.95,1.0,0.0,0.0,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
24,240000,0.95,0.95,0.0,0.05,0.05,0.0,0.25,0.95,0.05,0.0,0.7,0.05
25,250000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,1.0,0.0,0.0,0.05,0.0
26,260000,0.95,1.0,0.05,0.0,0.0,0.0,0.85,0.95,0.0,0.0,0.15,0.05
27,270000,0.95,1.0,0.0,0.0,0.05,0.0,0.05,0.9,0.9,0.05,0.05,0.05
28,280000,0.95,0.95,0.0,0.05,0.05,0.0,0.05,0.05,0.9,0.95,0.05,0.0
29,290000,0.95,1.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.05
30,300000,1.0,1.0,0.0,0.0,0.0,0.0,0.05,0.1,0.95,0.9,0.0,0.0
31,310000,1.0,1.0,0.0,0.0,0.0,0.0,0.05,0.05,0.9,0.9,0.05,0.05
32,320000,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,1.0,0.0,0.0
